year,gender,series,ours,pub,diff_abs,fail
1966,Female,epop16_24,0.4193687540441441,0.4193687,5.404414410437042e-8,FALSE
1966,Female,epop25_54,0.4449875653889032,0.4449876,3.4611096766390403e-8,FALSE
1966,Female,epop55_64,0.4088459811405478,0.408846,1.885945216661966e-8,FALSE
1966,Female,epop65,0.09377502001601282,0.093775,2.001601281942378e-8,FALSE
1966,Female,epop_all,0.3832163087089922,0.3832163,8.708992194073062e-9,FALSE
1967,Female,epop16_24,0.4299416180150125,0.4299416,1.801501253728688e-8,FALSE
1967,Female,epop25_54,0.45350914504466183,0.4535092,5.495533816901599e-8,FALSE
1967,Female,epop55_64,0.413770347558293,0.4137703,4.7558293025939946e-8,FALSE
1967,Female,epop65,0.09324853228962818,0.0932485,3.2289628179582586e-8,FALSE
1967,Female,epop_all,0.3899659247444356,0.3899659,2.4744435611623317e-8,FALSE
1968,Female,epop16_24,0.4381893226875973,0.4381893,2.2687597300841134e-8,FALSE
1968,Female,epop25_54,0.4626531012640489,0.4626531,1.2640489210902217e-9,FALSE
1968,Female,epop55_64,0.41517568441474456,0.4151757,1.558525541955902e-8,FALSE
1968,Female,epop65,0.0930945311751748,0.0930945,3.117517480277776e-8,FALSE
1968,Female,epop_all,0.3962409336392265,0.3962409,3.363922651544726e-8,FALSE
1969,Female,epop16_24,0.45784236711180937,0.4578424,3.288819061531001e-8,FALSE
1969,Female,epop25_54,0.47379670238161326,0.4737967,2.381613239954561e-9,FALSE
1969,Female,epop55_64,0.4212972744559476,0.4212973,2.554405237331636e-8,FALSE
1969,Female,epop65,0.09684072372738352,0.0968407,2.3727383516303213e-8,FALSE
1969,Female,epop_all,0.4071393574578288,0.4071394,4.254217117471981e-8,FALSE
1970,Female,epop16_24,0.456520366277234,0.4565204,3.372276596858015e-8,FALSE
1970,Female,epop25_54,0.4781556734761211,0.4781557,2.6523878926543176e-8,FALSE
1970,Female,epop55_64,0.4188839424371053,0.4188839,4.243710532980671e-8,FALSE
1970,Female,epop65,0.0937328202308961,0.0937328,2.023089609726192e-8,FALSE
1970,Female,epop_all,0.40793360722186345,0.4079336,7.221863440598497e-9,FALSE
1971,Female,epop16_24,0.44681887366818873,0.4468189,2.6331811286972595e-8,FALSE
1971,Female,epop25_54,0.4764533144814835,0.4764533,1.4481483456840749e-8,FALSE
1971,Female,epop55_64,0.4146909827760892,0.414691,1.722391079761465e-8,FALSE
1971,Female,epop65,0.0911769958921236,0.091177,4.10787640015009e-9,FALSE
